id:ID,:LABEL,metric,value
E54_量度_Artifact_玉器_119_量度信息,E54_量度,量度信息,"{""height"": 2.71, ""max_diameter"": 1.75}"
E54_量度_Artifact_玉器_120_量度信息,E54_量度,量度信息,"{""height"": 3.2, ""max_diameter"": 1.67}"
E54_量度_Artifact_玉器_121_量度信息,E54_量度,量度信息,"{""length"": 5.5, ""wingspan"": 5.8, ""thickness"": 0.78}"
E54_量度_Artifact_玉器_122_量度信息,E54_量度,量度信息,"{'height': 2.48, 'diameter_side1_min': 3.1, 'diameter_side1_max': 3.2, 'diameter_side2_min': 2.45, 'diameter_side2_max': 2.5, 'outer_hole_diameter_min': 0.9, 'outer_hole_diameter_max': 1, 'inner_hole_diameter': 0.83} | {'height': 2.5}"
E54_量度_Artifact_玉器_123_量度信息,E54_量度,量度信息,"{""height"": 2.4, ""max_diameter_min"": 1.15, ""max_diameter_max"": 1.3, ""tenon_length"": 0.9}"
E54_量度_Artifact_玉器_124_量度信息,E54_量度,量度信息,"{'length': 2.4, 'width_min': 1.4, 'width_max': 1.5, 'thickness': 0.7} | {'length': 2.4, 'width': 1.45, 'thickness': 0.7}"
E54_量度_Artifact_玉器_125_量度信息,E54_量度,量度信息,"{""length"": 2.5, ""width"": 1.5, ""thickness"": 0.7}"
E54_量度_Artifact_玉器_126_量度信息,E54_量度,量度信息,"{""length"": 2.4, ""width"": 1.4, ""thickness"": 0.7}"
E54_量度_Artifact_玉器_127_量度信息,E54_量度,量度信息,"{'length': 2.3, 'width': 1.2, 'thickness': 0.8} | 长2.3厘米，宽1.2厘米"
E54_量度_Artifact_玉器_128_量度信息,E54_量度,量度信息,长1.8厘米，最大直径1.7厘米
E54_量度_Artifact_玉器_129_量度信息,E54_量度,量度信息,"长1.73厘米，最大直径1.78厘米 | {'length': 1.8, 'diameter': 1.7} | 长1.8厘米，直径1.7厘米"
E54_量度_Artifact_玉器_130_量度信息,E54_量度,量度信息,长1.5厘米，最大直径1.6厘米
E54_量度_Artifact_玉器_131_量度信息,E54_量度,量度信息,长1.45厘米，最大直径1.65厘米
E54_量度_Artifact_玉器_133_量度信息,E54_量度,量度信息,"{""length_min"": 2.2, ""length_max"": 2.7, ""diameter_min"": 0.95, ""diameter_max"": 1.1}"
E54_量度_Artifact_玉器_134_量度信息,E54_量度,量度信息,"{""length_min"": 1.9, ""length_max"": 2.7, ""diameter_min"": 0.9, ""diameter_max"": 1.1}"
E54_量度_Artifact_玉器_135_量度信息,E54_量度,量度信息,"{""length_min"": 1.25, ""length_max"": 2.8, ""diameter_min"": 1, ""diameter_max"": 1.8}"
E54_量度_Artifact_玉器_136_量度信息,E54_量度,量度信息,"{""length_min"": 1.9, ""length_max"": 4.4, ""diameter_min"": 1, ""diameter_max"": 1.3}"
E54_量度_Artifact_玉器_137_量度信息,E54_量度,量度信息,"{'length_min': 1.2, 'length_max': 2.6, 'diameter_min': 0.8, 'diameter_max': 1.1} | "
E54_量度_Artifact_玉器_138_量度信息,E54_量度,量度信息,"{""length"": 13.87, ""width"": 0.9}"
E54_量度_Artifact_玉器_139_量度信息,E54_量度,量度信息," | {'length_min': 2.7, 'length_max': 3, 'diameter_min': 1, 'diameter_max': 1.1}"
E54_量度_Artifact_玉器_140_量度信息,E54_量度,量度信息,"{'height': 4.22, 'upper_width': 8.3, 'lower_width1': 7.5, 'lower_width2': 6.85, 'tenon_width': 5.7, 'thickness': 0.65} | "
E54_量度_Artifact_玉器_141_量度信息,E54_量度,量度信息,"{'length': 12.2, 'width': 7.6, 'thickness': 0.95, 'height': None, 'diameter': None, 'hole_diameter': None, 'weight': None} |  | {'length': 12.1, 'height': 7.6, 'thickness': 0.8}"
E54_量度_Artifact_玉器_143_量度信息,E54_量度,量度信息,"{'length': 6.58, 'diameter': 0.78} | "
E54_量度_Artifact_玉器_144_量度信息,E54_量度,量度信息,"{'length': 2.94, 'diameter': 0.92} |  | {}"
