:START_ID,:END_ID,:TYPE
Artifact_陶器_109,E25_ManMadeFeature_Artifact_陶器_109_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_109,E36_VisualItem_Artifact_陶器_109_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_109_纹饰类型,E55_Type_e88b0ca693,P2_has_type
Artifact_陶器_110,E25_ManMadeFeature_Artifact_陶器_110_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_110,E57_Material_Artifact_陶器_110_掺杂物,P45_consists_of
Artifact_陶器_111,E25_ManMadeFeature_Artifact_陶器_111_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_112,E25_ManMadeFeature_Artifact_陶器_112_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_112,E57_Material_Artifact_陶器_112_掺杂物,P45_consists_of
Artifact_陶器_112,E12_Production_Artifact_陶器_112,P108_was_produced_by
E12_Production_Artifact_陶器_112,记录其长、宽、高、重等定量数据。_Artifact_陶器_112_装饰手法,P32_used_specific_technique
Artifact_陶器_112,E36_VisualItem_Artifact_陶器_112_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_112_纹饰类型,E55_Type_65ebc35d78,P2_has_type
Artifact_陶器_113,E25_ManMadeFeature_Artifact_陶器_113_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_114,E25_ManMadeFeature_Artifact_陶器_114_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_115,E25_ManMadeFeature_Artifact_陶器_115_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_115,E52_时间跨度_Artifact_陶器_115_制作年代,P4_has_time-span
Artifact_陶器_116,E25_ManMadeFeature_Artifact_陶器_116_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_117,E25_ManMadeFeature_Artifact_陶器_117_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_118,E25_ManMadeFeature_Artifact_陶器_118_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_119,E25_ManMadeFeature_Artifact_陶器_119_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_120,E25_ManMadeFeature_Artifact_陶器_120_原始出土地点,P53_has_former_or_current_location
