id:ID,:LABEL,name
E55_Type_9a50625c97,E55_Type,圆形凹槽
E55_Type_b65e78362b,E55_Type,抽象鸟纹
E55_Type_473b4ac12f,E55_Type,鸟首纹、水波地纹
E55_Type_22591be44c,E55_Type,凸弦纹、水波纹
E55_Type_4d91cd43bb,E55_Type,平行线纹、方格纹
E55_Type_79ffa6fc53,E55_Type,四头火焰纹
E55_Type_704106627c,E55_Type,成组的字符
E55_Type_6fcbb3e33a,E55_Type,冠帽和眼鼻形纹饰
E55_Type_4940c8e2e9,E55_Type,打磨
E55_Type_95912e49cc,E55_Type,内有“十”字的三角形、“T”形
E55_Type_0cd56d43ae,E55_Type,巾形
E55_Type_8dbd9b8879,E55_Type,圆角“田”字形
E55_Type_c746cd2749,E55_Type,符号拓片
E55_Type_a44579d265,E55_Type,"朱线纹, 错位弧形尖角填线纹, 纵向平行直线纹"
E55_Type_c396455cdc,E55_Type,"红彩粗线, 弧形平行线, 'C'形纹"
E55_Type_c5a90b0c9b,E55_Type,"暗红色宽带纹, 平行弧线纹, 填彩弧线三角纹"
E55_Type_77848ded7f,E55_Type,深红色禾本植物纹
E55_Type_f00ea95ff0,E55_Type,"朱线纹, 红色弧线纹"
E55_Type_4a53002950,E55_Type,漩涡纹填水波纹、抽象鸟纹
E55_Type_7d34e73a35,E55_Type,平行的直线划纹
E55_Type_32558104c8,E55_Type,贯耳
E55_Type_40d813708e,E55_Type,鹰脸形
E55_Type_7ac2c59588,E55_Type,交叉弧线
E55_Type_0655cfc052,E55_Type,竖条加双圈形
E55_Type_9fda7bfaa0,E55_Type,尖足形
E55_Type_ff25af0886,E55_Type,奔跑的动物
E55_Type_a19768b9e1,E55_Type,鸟喙状和近圆形结构，波折线
E55_Type_f3a2b99d12,E55_Type,手制
E55_Type_ed73936fa6,E55_Type,慢轮修整
E55_Type_cde2fda043,E55_Type,红衣
E55_Type_6b3c28a336,E55_Type,凹弦纹和鸡冠状小鉴
E55_Type_f6b3b8318b,E55_Type,双线连对角的方格纹、重圈纹和弦纹等组合成的精致刻划图案
E55_Type_9eb394862e,E55_Type,鱼在水中畅游的生动、写实图案
E55_Type_2e8ec2f9c2,E55_Type,组合凹弦纹
E55_Type_1485f2a66b,E55_Type,简单加工
E55_Type_37b28cdbce,E55_Type,慢轮修整或轮制
E55_Type_7696a4f7f8,E55_Type,凸棱纹
E55_Type_0ec41fc852,E55_Type,凹凸弦纹
E55_Type_2a2ff186d1,E55_Type,锯齿状凸弦纹
E55_Type_df8710ee0b,E55_Type,"细弦纹, 宽带状附加堆凸弦纹"
E55_Type_3e7f1a81b8,E55_Type,绳索状附加堆纹
E55_Type_be23a373fe,E55_Type,瓦棱纹
E55_Type_17ed54a136,E55_Type,圆形镂孔
E55_Type_568393d2dd,E55_Type,小镂孔
E55_Type_21041201be,E55_Type,鼎、豆、罐
E55_Type_3574d46b9b,E55_Type,凹弦纹，长方形镂孔
E55_Type_daf43d7a96,E55_Type,长方形镂空
E55_Type_cce5815591,E55_Type,鼎、豆、罐、过滤器
E55_Type_c49581c9d3,E55_Type,组合圆圈纹
E55_Type_b495fb3a2a,E55_Type,点纹
E55_Type_6b25062168,E55_Type,鼎、盆、鼎甑
E55_Type_333fbb0337,E55_Type,豆、钵
E55_Type_f6a83393f7,E55_Type,弧边三角形和圆形组合纹
E55_Type_8f00389b3a,E55_Type,圆形镂空
E55_Type_c182aae0df,E55_Type,豆、葫芦腹罐
E55_Type_7f3272b4d2,E55_Type,抹制
E55_Type_d9d049be53,E55_Type,三角形与小圆点组合纹
