id,name,category,height,
obj_59a8a47f,M14:6,Pottery,,E22_Man_Made_Object
obj_8af5574f,M14:7,Pottery,,E22_Man_Made_Object
obj_23603c74,M18：4,Pottery,,E22_Man_Made_Object
obj_a61ddafb,M18:A罐,Pottery,,E22_Man_Made_Object
obj_1edc519d,M18,Pottery,,E22_Man_Made_Object
obj_b8a8f05f,T0302③:23,Pottery,8.7,E22_Man_Made_Object
obj_cd70639a,T0302⑤:22,Pottery,6.4,E22_Man_Made_Object
obj_26c12797,T0302⑤:21,Pottery,4.0,E22_Man_Made_Object
obj_2e8c7298,T0301③:15,Pottery,15.0,E22_Man_Made_Object
obj_b2864249,T0302⑤:14,Pottery,9.0,E22_Man_Made_Object
obj_27bc7c25,T0402②:28,Pottery,8.4,E22_Man_Made_Object
obj_ec61f941,T0302⑤:13,Pottery,6.0,E22_Man_Made_Object
obj_3495dc9e,T0402③:28,Pottery,8.0,E22_Man_Made_Object
obj_8ffba489,T0301④:16,Pottery,6.5,E22_Man_Made_Object
obj_309c1377,T0401⑥:15,Pottery,4.6,E22_Man_Made_Object
obj_f8144fa0,T0402②：27,Pottery,2.8,E22_Man_Made_Object
obj_289ed0dc,T0401③：17,Pottery,41.6,E22_Man_Made_Object
obj_46e86643,T0302⑥：19,Pottery,,E22_Man_Made_Object
obj_c66ceb61,T0301④：14,Pottery,,E22_Man_Made_Object
obj_2a066810,T0202④：8,Pottery,,E22_Man_Made_Object
obj_8183eeed,T0402②：53,Pottery,14.0,E22_Man_Made_Object
obj_38bd445c,T0403②：18,Pottery,12.4,E22_Man_Made_Object
obj_38f12078,T0302②：34,Pottery,10.4,E22_Man_Made_Object
obj_39b3856c,T0402②：43,Pottery,13.0,E22_Man_Made_Object
obj_83a5c642,T0403②：9,Pottery,11.8,E22_Man_Made_Object
obj_5a323eb5,T0203③：43,Pottery,11.2,E22_Man_Made_Object
obj_616ba83c,T0301②：21,Pottery,11.0,E22_Man_Made_Object
obj_d5471075,T0302②：30,Pottery,11.8,E22_Man_Made_Object
obj_2f6f560d,T0402②：32,Pottery,13.2,E22_Man_Made_Object
obj_6630bb6e,T0301②：23,Pottery,12.4,E22_Man_Made_Object
obj_a8b03ea7,T0302②：49,Pottery,12.5,E22_Man_Made_Object
obj_fe1dea20,T0303②：6,Pottery,9.9,E22_Man_Made_Object
obj_e89cb0bc,T0303④：17,Pottery,10.0,E22_Man_Made_Object
obj_f94b97cc,T0402②：29,Pottery,9.0,E22_Man_Made_Object
obj_abdc254c,T0402③：34,Pottery,18.0,E22_Man_Made_Object
obj_a689f7e4,T0301②：17,Pottery,8.5,E22_Man_Made_Object
obj_49b97544,T0402④：38,Pottery,10.5,E22_Man_Made_Object
obj_218295fb,T0402④：41,Pottery,5.3,E22_Man_Made_Object
obj_50fef69a,T0203③：22,Pottery,5.6,E22_Man_Made_Object
obj_38cb2a16,T0203④：30,Pottery,9.0,E22_Man_Made_Object
obj_59111f10,T0202②：23,Pottery,9.2,E22_Man_Made_Object
obj_c6c5894f,T0402④：39,Pottery,4.5,E22_Man_Made_Object
obj_ee310ba2,T0303⑤：26,Pottery,10.0,E22_Man_Made_Object
obj_f95e6992,T0402②：3,Pottery,6.7,E22_Man_Made_Object
obj_933d074b,T0203 (7) : 39,Pottery,5.5,E22_Man_Made_Object
obj_eeca8f6b,T0301④：35,Pottery,7.0,E22_Man_Made_Object
obj_3352075b,T0401③：18,Pottery,9.0,E22_Man_Made_Object
obj_347149ba,T0303②：8,Pottery,7.0,E22_Man_Made_Object
obj_68827f1a,T0403②：10,Pottery,6.5,E22_Man_Made_Object
obj_0b491767,T0401③:18,Pottery,,E22_Man_Made_Object
obj_d642b859,T0303②:8,Pottery,,E22_Man_Made_Object
obj_7a26e7ea,T0403②:10,Pottery,,E22_Man_Made_Object
obj_28a3bf7b,T0402②:51,Pottery,,E22_Man_Made_Object
obj_532de796,T0203②:24,Pottery,,E22_Man_Made_Object
obj_c0dc5479,T0302②:60,Pottery,,E22_Man_Made_Object
obj_a04d81e3,T0203③:36,Pottery,,E22_Man_Made_Object
obj_2ba17e60,T0402②:35,Pottery,,E22_Man_Made_Object
obj_7f0e460d,T0402④:56,Pottery,7.4,E22_Man_Made_Object
obj_67580646,T0202③:9,Pottery,4.5,E22_Man_Made_Object
obj_852780bc,T0203③:10,Pottery,,E22_Man_Made_Object
obj_fd04f306,011：1,Pottery,,E22_Man_Made_Object
obj_edef4b36,T0301（2）：3,Pottery,,E22_Man_Made_Object
obj_13e31b07,采：1,Pottery,,E22_Man_Made_Object
obj_8d16b7ec,采：2,Pottery,,E22_Man_Made_Object
obj_ab0cfae4,104023：3,Pottery,,E22_Man_Made_Object
obj_9d40ebe9,仲M1:1,Pottery,,E22_Man_Made_Object
obj_5650e061,仲M1:2,Pottery,,E22_Man_Made_Object
obj_0b1e9feb,仲M2:1,Pottery,16.0,E22_Man_Made_Object
obj_f06edc03,仲M2:2,Pottery,12.4,E22_Man_Made_Object
obj_543af2f6,仲M2:3,Pottery,11.6,E22_Man_Made_Object
obj_a7dc731d,伸M2：1,Pottery,,E22_Man_Made_Object
